id,sentiment_text,human_label
1,"Titulo: Dólar deixa máximas, mas fecha acima dos R$ 5,60 e sobe 3% na semana: o que explica?",NEGATIVE
2,"Titulo: Dólar sobe e atinge R$ 3,86 com otimismo de Powell; Ibovespa Futuro corrige ganhos",NEGATIVE
3,"Titulo: Encruzilhada fiscal impulsiona dólar a R$ 5,43, mesmo com sinais de alívio no exterior",NEGATIVE
4,"Titulo: Correção atinge Ibovespa, Nasdaq e S&P; Bitcoin abaixo de US$ 100 mil | Resumo: O Ibovespa, principal índice da bolsa brasileira, mantém a leitura estrutural de tendência de alta, o movimento atual é de correção.",NEUTRAL
5,"Titulo: Ipea eleva projeções para IPCA e INPC de 2023, de 4,7% para 4,9% | Resumo: O instituto estima uma alta de 5,6%, para os preços administrados em 2023 nos dois indicadores; nos preços livres, é esperada desaceleração",NEGATIVE
6,Titulo: Dólar tem leve alta com cautela sobre fiscal,NEGATIVE
7,"Titulo: Dólar se aproxima de R$4,29 e tem maior alta para janeiro em 10 anos | Resumo: Em janeiro, moeda americana subiu quase 7% e bate recordes",NEGATIVE
8,"Titulo: Com manutenção da Selic em 13,75%, Brasil continua com a maior taxa de juros real do mundo",NEGATIVE
9,"Titulo: Com Selic a 15%, Brasil tem o 2º maior juro real do mundo; veja ranking | Resumo: O Banco Central subiu a Selic em 0,25 ponto percentual",NEGATIVE
10,"Titulo: IPCA fecha 2024 em 4,83%, acima do teto da meta, após inflação de 0,52% em dezembro | Resumo: A meta de inflação estipulada era de 3%, com tolerância até 4,5%",NEGATIVE
11,"Titulo: 'Block trade' com Rede D'Or movimenta R$ 2,6 bi na B3; ação cai 6%",NEGATIVE
12,Titulo: Ibovespa devolve ganhos do ano sob ruídos locais,NEGATIVE
13,Titulo: Ativa reduz projeção do Ibovespa para 117 mil pontos em 2022,NEGATIVE
14,"Titulo: Dólar reage a Auxílio Brasil fora do teto de gastos e fecha quase a R$ 5,60 | Resumo: A moeda americana avançou 1,36%, negociado a R$ 5,5944; é o maior valor de fechamento do dólar no Brasil desde 15 de abril, quando o câmbio fechou em R$ 5,6241",NEGATIVE
15,"Titulo: Mercado eleva projeção do IPCA em 2024 pela 2ª semana seguida, aponta Focus | Resumo: Mediana das projeções do mercado para a inflação de 2024 passou de 4,05% para 4,10%, e para 2025, de 3,90% para 3,96%; para o crescimento do PIB em 2024, avançou de 2,15% para 2,19%, e para 2025, de 1,93% para 1,94%",NEGATIVE
16,Titulo: Mercado eleva novamente previsão de Selic no fim do ciclo,NEGATIVE
17,Titulo: Investidor reduz passo na bolsa e dá atenção à renda fixa,NEGATIVE
18,Titulo: Ibovespa Futuro acompanha exterior e abre em queda de olho nos juros nos EUA,NEGATIVE
19,"Titulo: Ibovespa acelera perdas e dólar firma alta após ""surpresa"" com confiança do consumidor nos EUA | Resumo: Índice tinha dia de maior cautela após renovar máxima histórica na véspera, mas indicadores econômicos favorecem realização de lucros pelos investidores",NEGATIVE
20,"Titulo: Petrobras (PETR4) lidera altas do Ibovespa em janeiro; saiba quais ações mais subiram no mês | Resumo: O Ibovespa, por outro lado, encerrou janeiro com baixa de 4,79%",NEGATIVE
21,Titulo: Ibovespa opera no nível de 98 mil pontos com recessão e cenário fiscal em pauta | Resumo: Índice da bolsa paulista testa a marca dos 97 mil pontos em meio a uma sessão de queda generalizada para ativos de risco,NEGATIVE
22,"Titulo: Ibovespa fecha em alta com impulso de Vale, mas cai 2% na semana",NEGATIVE
23,"Titulo: Abilio Diniz vende R$ 805 milhões em ações do Carrefour; papéis caem até 8% na B3 | Resumo: O veículo de investimentos da família Diniz diminuiu sua fatia na empresa de 11,46% para 8,91% - uma venda equivalente a cerca de 22% da posição",NEGATIVE
24,"Titulo: Luis Stuhlberger: 'PIB do Brasil ainda não está mostrando seu potencial' | Resumo: Gestor do maior fundo multimercado do Brasil ainda destacou que não se pode comparar o estado da economia brasileira com o da Argentina, com problemas crônicos, porque tem o peronismo desde os anos 50",NEGATIVE
25,"Titulo: Decisão do Copom reforça que ciclo de corte de juros só deve começar em 2026 | Resumo: Segundo economistas ouvidos pela EXAME, o comunicado reforçou que os juros seguirão em um patamar elevado por mais tempo",NEGATIVE
26,"Titulo: Em semestre de perdas, dólar e ouro ficam na dianteira",NEGATIVE
27,Titulo: Juros futuros sobem acompanhando Treasuries após 'payroll' nos EUA,NEGATIVE
28,"Titulo: Juros futuros fecham em forte alta, impulsionados por taxas globais e câmbio",NEGATIVE
29,"Titulo: Inflação em 12 meses tem a maior alta desde 2016 | Resumo: IPCA acelerou para 1,25% em outubro, após alta de 1,16% em setembro",NEGATIVE
30,Titulo: Dólar hoje: fechou em alta acima dos R$5 um dia antes da Super Quarta | Resumo: A moeda americana fechou em alta hoje,NEGATIVE
31,"Titulo: Dólar sobe a R$ 4,1655 e tem maior fechamento da história após Copom | Resumo: O dólar avançou 1,47%, a R$ 4,1644 na compra e R$ 4,1655 na venda, superando a máxima histórica de fechamento anterior de R$ 4,1461",NEGATIVE
32,"Titulo: Dólar sobe a R$ 4,168 e registra maior alta semanal em mais de um ano | Resumo: Moeda avançou 1,83% no dia e fechou a semana com alta acumulada de 4,34%, a maior desde agosto de 2018",NEGATIVE
33,"Titulo: Após disparar e superar R$ 3,60, dólar tem leve alta com ajuda do petróleo | Resumo: O dólar avançou 0,20 por cento, a 3,5702 reais na venda, após chegar a subir mais de 1,5 por cento e atingir 3,6195 reais na máxima deste pregão",NEGATIVE
34,"Titulo: IPCA-15 sobe 0,55% em janeiro",NEGATIVE
35,"Titulo: Dólar avança, tem novo recorde de fechamento e vai a R$ 6,07 | Resumo: Terminadas as negociações, o dólar encerrou em alta de 1% cotado a R$ 6,0713, depois de ter encostado na mínima de R$ 5,9836 e tocado a máxima de R$ 6,0919",NEGATIVE
36,"Titulo: Dólar sobe 1% e se aproxima de R$3,20 de olho nos EUA | Resumo: Às 10:13, o dólar avançava 1,08 por cento, a 3,1897 reais na venda",NEGATIVE
37,"Titulo: Dólar sobe a R$ 5,65 em primeiro pregão de julho e bate máxima em 30 meses",NEGATIVE
38,"Titulo: Dólar fecha em R$ 3,82, maior nível em mais de um mês",NEGATIVE
39,"Titulo: Dólar avança a R$3,75 após Fed reafirmar planos para alta de juros | Resumo: Às 10:19, o dólar avançava 0,45 por cento, a 3,7549 reais na venda, depois de bater a máxima de 3,7761 reais, e a mínima de 3,7492 reais",NEGATIVE
40,"Titulo: Investidores estrangeiros sacam R$ 528,3 milhões na B3 no dia 12 de abril",NEGATIVE
41,"Titulo: Dólar sobe e encosta em R$3,30 com exterior e ação do BC | Resumo: Às 10:31, o dólar avançava 0,51 por cento, a 3,2815 reais na venda, após atingir 3,2980 reais na máxima do dia, com alta de 1 por cento",NEGATIVE
42,"Titulo: Dólar supera os R$ 5,90, em novo recorde",NEGATIVE
43,"Titulo: Em dia de disparada dos Treasuries, Ibovespa segue exterior e fecha em queda; dólar sobe",NEGATIVE
44,"Titulo: Ibovespa fecha sessão em alta com commodities, mas cai 4% na semana com alertas de risco fiscal; dólar sobe a R$ 5,24 | Resumo: Semana foi marcada por PEC da Transição aprovada no Senado, decisão do Copom e por oficialização de Haddad como ministro da Fazenda do governo Lula",NEGATIVE
45,Titulo: Ibovespa fica entre expectativa de juros e política e tem leve queda,NEGATIVE
